Frequency(Hz),  Magnitude(dB),   Phase(deg)
96.863, 81.5992, -58.9154
97.046, 82.2329, -60.8208
97.229, 80.6447, -70.0784
97.412, 80.0601, -58.0362
97.595, 81.2850, -67.0139
97.778, 79.1048, -70.9643
97.961, 79.1617, -48.3012
98.145, 79.2239, -54.0277
98.328, 80.5137, -59.0717
98.511, 79.2490, -45.3829
98.694, 81.3640, -59.2419
98.877, 78.3133, -50.4220
99.060, 79.4648, -44.7028
99.243, 80.1966, -55.1166
99.426, 80.5776, -40.4939
99.609, 81.0609, -49.4235
99.792, 79.9478, -57.4775
99.976, 80.3542, -37.4903
100.159, 80.2654, -60.1861
100.342, 75.9667, -52.3350
100.525, 78.0161, 6.4366
100.708, 84.3644, -32.9706
100.891, 81.6906, -31.7673
101.074, 82.0570, -33.7059
101.257, 82.5531, -32.0601
101.440, 82.4576, -37.2063
101.624, 83.0021, -32.1885
101.807, 83.7316, -33.0229
101.990, 83.6686, -37.7744
102.173, 83.3564, -39.8961
102.356, 84.1637, -34.0063
102.539, 83.7255, -45.4210
102.722, 84.7774, -16.7034
102.905, 86.0384, -39.5152
103.088, 86.0821, -41.1190
103.271, 85.6789, -42.8087
103.455, 85.3743, -43.7334
103.638, 86.1000, -45.2242
103.821, 86.2909, -42.4485
104.004, 85.9825, -51.4992
104.187, 86.2678, -44.1589
104.370, 86.1842, -46.0864
104.553, 86.9829, -47.9040
104.736, 86.9705, -49.9132
104.919, 87.2529, -51.2614
105.103, 87.3435, -54.0486
105.286, 86.3537, -52.2675
105.469, 88.2247, -58.0353
105.652, 87.1370, -48.9969
105.835, 87.6597, -61.2198
106.018, 87.3391, -54.5733
106.201, 88.3560, -58.0551
106.384, 87.8713, -59.8738
106.567, 88.1682, -59.5494
106.750, 87.9519, -62.7692
106.934, 88.3024, -60.4382
107.117, 88.6948, -62.3995
107.300, 88.2238, -63.1075
107.483, 88.6386, -65.1269
107.666, 89.8394, -63.4662
107.849, 88.8897, -71.5127
108.032, 88.7954, -67.3795
108.215, 88.8989, -72.4114
108.398, 89.7963, -61.6430
108.582, 89.4294, -76.9370
108.765, 90.2631, -70.9045
108.948, 89.3483, -74.5427
109.131, 90.5810, -72.0435
109.314, 89.5982, -86.4893
109.497, 90.5212, -70.4514
109.680, 90.5699, -80.5948
109.863, 90.6510, -81.6534
